author,title,type,tag,sub-tag
Lawrence Krauss,A Universe from Nothing ,non-fiction,science,physics
Lehman and Stanley,Why Greatness Cannot be Planned,non-fiction,thinking,
Leïla Slimani,Lullaby,fiction,,
Leo Tolstoy,War and Peace,fiction,,
Less,Andrew Sean Greer,fiction,,
Lincoln Paine,The Sea and Civilization: A Maritime History of the World,non-fiction,international,maritime
Ling  Ma,Bliss Montage,fiction,,
Lisa Feldman Barrett,How Emotions Are Made,non-fiction,science,cognitive
Lisa Feldman Barrett,Seven And A Half Lessons About The Brain,non-fiction,science,cognitive
Lisa Taddeo,Three Women,fiction,,
Liu Cixin,The Three-Body Problem,fiction,,
Louis Menand,The Metaphysical Club,non-fiction,history,intellectual
Lucas Rijneveld,The Discomfort of Evening,fiction,,
Lucy Ellmann,Things Are Against Us,fiction,,
Lulu Allison,Salt Lick,fiction,,
M. Mitchell Waldrop,The Dream Machine,non-fiction,technology,
Maddie Mortimer,Maps of Our Spectacular Bodies,fiction,,
Madeline Miller,Circe,fiction,,
Maggie Nelson,The Argonauts,fiction,,
Maggie O'Farrell,Hamnet,fiction,,
Maggie Shipstead,Great Circle,fiction,,
Marc Bloch,"Feudal Society, Volume 1",non-fiction,history,feudalism
Marcel Proust,"In Search of Lost Time, Vol. 1–3",fiction,,
Margaret Atwood,The Blind Assassin,fiction,,
Margaret Atwood,The Year of the Flood,fiction,,
Margaret Atwood,Oryx and Crake,fiction,,
Margaret MacMillan,The War That Ended Peace,non-fiction,history,20th century
Marguerite Yourcenar,Memoirs of Hadrian,fiction,,
Mariana Enriquez,The Dangers of Smoking in Bed,fiction,,
Mariana Mazzucato,The Entrepreneurial State: Debunking Public vs. Private Sector Myths,non-fiction,politics,
Marilynne Robinson,The Givenness of Things: Essays,fiction,,
Marilynne Robinson,Gilead,fiction,,
Marilynne Robinson,Home,fiction,,
Mark de Silva,The Logos,fiction,,
Mark Fisher,"Ghosts of My Life: Writings on Depression, Hauntology and Lost Futures",non-fiction,politics,
Mark Fisher,Capitalist Realism: Is There No Alternative?,non-fiction,politics,
Martin Gayford,Master Builder,non-fiction,science,biology
Martin Gurri,The Revolt of the Public,non-fiction,sociology,
Martin Wolf,The Crisis of Democratic Capitalism,non-fiction,economics,
Matt Haig,The Midnight Library,fiction,,
Matthew B. Crawford,Shop Class as Soulcraft,non-fiction,philosophy,
Matthew Desmond,Poverty by America,non-fiction,politics,
Max Porter,The Death of Francis Bacon,fiction,,
Max Porter,Lanny,fiction,,
Max Porter,Grief Is the Thing with Feathers,fiction,,
Max Tegmark,Life 3.0: Being Human in the Age of Artificial Intelligence,non-fiction,technology,ai
Max Tegmark,Our Mathematical Universe: My Quest for the Ultimate Nature of Reality,non-fiction,mathematics,
Max Weber,The Protestant Ethic and the Spirit of Capitalism,non-fiction,sociology,
Meg Mason,Sorrow and Bliss,fiction,,
Melanie  Mitchell,Artificial Intelligence: A Guide for Thinking Humans,non-fiction,technology,ai
Michael Hardt,Multitude: War and Democracy in the Age of Empire,non-fiction,politics,
Michael Kempe,The Best of All Possible Worlds,non-fiction,biography,intellectual
Michael Wood,A Brief History of China,non-fiction,international,china
Michel Laub,Diary of the Fall,fiction,,
Mieko Kawakami,Breasts and Eggs,fiction,,
Mike  Davis,Buda's Wagon: A Brief History of the Car Bomb,non-fiction,history,
Mike  Davis,Planet of Slums,fiction,,
Mike  Davis,Prisoners of the American Dream: Politics and Economy in the History of the U.S. Working Class,non-fiction,history,american
Mikhail Bulgakov,The Master and Margarita,fiction,,
Mikiso Hane,Japan: A Short History,non-fiction,international,asia
Milan Kundera,The Unbearable Lightness of Being,fiction,,
Milton Friedman; Anna Schwartz,The Great Contraction 1929–1933,non-fiction,economics,monetary
Mona Arshi,Somebody Loves You,fiction,,
Naomi Klein,The Shock Doctrine: The Rise of Disaster Capitalism,non-fiction,economics,
Naomi Klein,This Changes Everything,non-fiction,politics,
Nassim Nicholas Taleb,Black Swan,non-fiction,statistics,
Nassim Nicholas Taleb,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),non-fiction,statistics,
Nate Silver,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,non-fiction,statistics,
Niall Ferguson,The Square and the Tower,non-fiction,history,
Nicholas J. Brown,The New Penguin Russian Course: A Complete Course for Beginners,non-fiction,language,
Nick Bostrom,"Superintelligence: Paths, Dangers, Strategies",non-fiction,technology,ai
Nick Srnicek,Inventing the Future: Postcapitalism and a World Without Work,non-fiction,politics,
Nigel Warburton,A Little History of Philosophy,non-fiction,philosophy,history
Nikolai Leskov,The Enchanted Wanderer,fiction,,
Nikos Kazantzakis,Zorba the Greek,fiction,,
Noam Chomsky,Chomsky On Anarchism,non-fiction,politics,
"Noam Chomsky, Ilan Pappé",On Palestine,non-fiction,international,middle east
Ocean Vuong,On Earth We’re Briefly Gorgeous,fiction,,
Oisín Fagan,Nobber,fiction,,
Olga Tokarczuk,The Books of Jacob,fiction,,
Olga Tokarczuk,Drive Your Plow Over the Bones of the Dead,fiction,,
Olga Tokarczuk,Flights,fiction,,
Orhan Pamuk,The White Castle,fiction,,
Orlando Figes,"Revolutionary Russia, 1891 - 1991: A History",non-fiction,history,european
Oscar Wilde,The Picture of Dorian Gray,fiction,,
Oscar Wilde,The Major Works,fiction,,
Ottessa Moshfegh,Death in Her Hands,fiction,,
Ottessa Moshfegh,Lapvona,fiction,,
Owen Jones,The Establishment,non-fiction,politics,
P. W. Singer; August Cole,Ghost Fleet,fiction,,
Parag Khanna,Move: The Forces Uprooting Us,non-fiction,politics,
Parmy Olson,Supremacy,non-fiction,technology,ai
Patrick McCabe,Poguemahone,fiction,,
Patrick Modiano,The Occupation Trilogy,fiction,,
Paul Auster,The New York Trilogy,fiction,,
Paul Auster,Leviathan,fiction,,
Paul Beatty,The White Boy Shuffle,fiction,,
Paul Bloom,The Human Mind,non-fiction,science,cognitive
Paul Harding,Tinkers,fiction,,
Paul Ingrassia,Engines of Change,non-fiction,technology,
Paul Morland,The Human Tide: How Population Shaped the Modern World,non-fiction,politics,
Paulo Freire,Pedagogy of the Oppressed,non-fiction,politics,
Percival Everett,The Trees,fiction,,
Percival Everett,I Am Not Sidney Poitier,fiction,,
Perry Anderson,Passages from Antiquity to Feudalism,non-fiction,history,feudalism
Peter Baker; Susan Glasser,The Man Who Ran Washington,non-fiction,politics,
Peter Bernstein,Against the Gods,non-fiction,statistics,
Peter Drucker,The Effective Executive,non-fiction,business,management
Peter J. Boettke,The Struggle for a Better World,non-fiction,economics,
Peter Mansfield,A History of the Middle East,non-fiction,international,middle east
Peter Singer,Applied Ethics,non-fiction,philosophy,ethics
